epchs, train_loss, train_metric, valid_loss, valid_metric
1,3.708662322998047,2.566396951675415,3.488379294872284,1.9177011251449585
2,3.6062082138061524,4.128481864929199,3.472578618526459,2.6303551197052
3,3.5976076173782348,4.114109039306641,3.331673243045807,3.6109728813171387
4,3.570599157810211,4.2242817878723145,3.360717034339905,3.221235990524292
5,3.389729121208191,3.8255903720855713,3.4104323768615723,3.0741302967071533
6,3.201268611907959,4.4504594802856445,3.5298245191574096,1.293614387512207
7,3.120748553276062,5.1259765625,3.5352746081352233,3.6784801483154297
8,3.095291913032532,5.40531063079834,3.7083702850341798,4.03396463394165
9,3.067474723339081,5.681195259094238,3.1794878745079043,3.031367301940918
10,3.057086607456207,5.673089504241943,3.342388699054718,3.80836820602417
11,3.0400711216926575,5.825725078582764,3.1846142745018007,3.1579205989837646
12,3.0264211916923522,6.0824761390686035,3.148136384487152,3.8171353340148926
13,3.0184134974479675,6.080267906188965,3.3701067852973936,4.084191799163818
14,3.0109806480407717,6.127805233001709,3.1438980174064635,2.6539392471313477
15,3.003564425945282,6.236978530883789,3.2407958841323854,2.7545576095581055
16,2.9961477184295653,6.275696277618408,3.170927700996399,2.148113965988159
17,2.999793848991394,6.245505332946777,3.141959729194641,2.580486536026001
18,2.989548168182373,6.34708833694458,3.3622645711898804,2.7659521102905273
19,2.98165650844574,6.328596115112305,3.362985444068909,3.0556259155273438
20,2.979295491695404,6.3417253494262695,3.2881664061546325,2.248786687850952
21,2.9757445130348206,6.35736608505249,3.251099352836609,2.6435744762420654
22,2.973871449947357,6.431453227996826,3.588640360832214,2.688316583633423
23,2.969729546070099,6.4253740310668945,3.3214930486679077,3.263584613800049
24,2.9653662910461427,6.394465446472168,3.407653365135193,2.8822717666625977
25,2.9631288027763367,6.4157328605651855,3.1777208280563354,3.117631435394287
26,2.960806836605072,6.436666488647461,3.1848875665664673,2.3948071002960205
27,2.957982252597809,6.400348663330078,3.3826097869873046,1.8728091716766357
28,2.9529920444488527,6.38008451461792,3.1605747890472413,2.1517584323883057
29,2.950215521335602,6.474117755889893,3.2910941076278686,2.452288866043091
30,2.9477944388389585,6.4940080642700195,3.129017882347107,3.495776414871216
31,2.9467592253684995,6.43659782409668,3.215310516357422,2.0302834510803223
32,2.9415554876327517,6.463931083679199,3.2667447686195374,4.123378753662109
33,2.9400575757026672,6.49224853515625,3.2081787824630736,3.220550775527954
34,2.9368548521995543,6.4592366218566895,3.8077049446105957,-4.198159694671631
35,2.935134482860565,6.499650001525879,3.303756709098816,2.4986283779144287
36,2.9313086371421813,6.5437541007995605,3.1363306856155395,2.8696374893188477
37,2.9314527497291567,6.50495719909668,3.2378086853027344,3.1012279987335205
38,2.927555628299713,6.5517191886901855,3.25347384929657,2.5056631565093994
39,2.9261470832824705,6.52772331237793,3.179062328338623,3.385284662246704
40,2.9241628942489624,6.514078617095947,3.2675146436691285,2.6093578338623047
41,2.922383674621582,6.544534206390381,3.2583761548995973,4.023003101348877
42,2.9214647793769837,6.501606464385986,3.3187388944625855,1.262691617012024
43,2.9193494410514833,6.53863000869751,3.1233269572257996,3.9100170135498047
44,2.917991534233093,6.551250457763672,3.1813038206100464,2.7369656562805176
45,2.9179842281341553,6.5465216636657715,3.541790552139282,-1.3662621974945068
46,2.9174257283210756,6.548598289489746,3.2542210102081297,2.7762157917022705
47,2.917157693862915,6.544808864593506,3.1540661668777465,3.3250088691711426
48,2.9167570481300356,6.553501129150391,3.189995765686035,2.896754503250122
49,2.9162313771247863,6.552918434143066,3.1516051149368285,3.4773502349853516
50,2.9159922108650207,6.531256675720215,3.224508275985718,3.4963431358337402
51,2.9785502910614015,6.176443576812744,3.338320834636688,3.4705560207366943
52,2.9730917258262632,6.22844934463501,3.2489289808273316,3.104975938796997
53,2.970865807533264,6.437275409698486,3.3396468901634218,3.257092237472534
54,2.9567972626686094,6.3679118156433105,3.1385278511047363,3.5844643115997314
